clip_id,video_id,action_id,action_name,canonical_action,clip_path,stage2_dir,vlm_dir,comparison_path,fused_path,stage2_status,vlm_status,fused_status,stage2_event_count,vlm_present,error
4FXUI_c052_t0.00_43.20,4FXUI,c052,Working/Playing on a laptop,using_laptop,data/charades/clips_480p/4FXUI_c052_t0.00_43.20.mp4,outputs/charades_clip_batch_50/4FXUI_c052_t0.00_43.20/stage2,outputs/charades_clip_batch_50/4FXUI_c052_t0.00_43.20/vlm_review,outputs/charades_clip_batch_50/4FXUI_c052_t0.00_43.20/comparison.json,outputs/charades_clip_batch_50/4FXUI_c052_t0.00_43.20/fused_events.json,exists,exists,ok,1,False,
ZCH1J_c051_t0.00_44.58,ZCH1J,c051,Watching a laptop or something on a laptop,watching_laptop,data/charades/clips_480p/ZCH1J_c051_t0.00_44.58.mp4,outputs/charades_clip_batch_50/ZCH1J_c051_t0.00_44.58/stage2,outputs/charades_clip_batch_50/ZCH1J_c051_t0.00_44.58/vlm_review,outputs/charades_clip_batch_50/ZCH1J_c051_t0.00_44.58/comparison.json,outputs/charades_clip_batch_50/ZCH1J_c051_t0.00_44.58/fused_events.json,exists,exists,ok,0,False,
JUF24_c147_t0.00_37.08,JUF24,c147,Someone is cooking something,cooking,data/charades/clips_480p/JUF24_c147_t0.00_37.08.mp4,outputs/charades_clip_batch_50/JUF24_c147_t0.00_37.08/stage2,outputs/charades_clip_batch_50/JUF24_c147_t0.00_37.08/vlm_review,outputs/charades_clip_batch_50/JUF24_c147_t0.00_37.08/comparison.json,outputs/charades_clip_batch_50/JUF24_c147_t0.00_37.08/fused_events.json,exists,exists,ok,0,False,
6TNP4_c107_t0.90_44.58,6TNP4,c107,Holding a cup/glass/bottle of something,holding_drink_container,data/charades/clips_480p/6TNP4_c107_t0.90_44.58.mp4,outputs/charades_clip_batch_50/6TNP4_c107_t0.90_44.58/stage2,outputs/charades_clip_batch_50/6TNP4_c107_t0.90_44.58/vlm_review,outputs/charades_clip_batch_50/6TNP4_c107_t0.90_44.58/comparison.json,outputs/charades_clip_batch_50/6TNP4_c107_t0.90_44.58/fused_events.json,exists,exists,ok,0,False,
PURYC_c110_t0.00_33.71,PURYC,c110,Taking a cup/glass/bottle from somewhere,taking_drink_container,data/charades/clips_480p/PURYC_c110_t0.00_33.71.mp4,outputs/charades_clip_batch_50/PURYC_c110_t0.00_33.71/stage2,outputs/charades_clip_batch_50/PURYC_c110_t0.00_33.71/vlm_review,outputs/charades_clip_batch_50/PURYC_c110_t0.00_33.71/comparison.json,outputs/charades_clip_batch_50/PURYC_c110_t0.00_33.71/fused_events.json,exists,exists,ok,2,False,
1Y09V_c109_t0.00_30.79,1Y09V,c109,Putting a cup/glass/bottle somewhere,putting_drink_container,data/charades/clips_480p/1Y09V_c109_t0.00_30.79.mp4,outputs/charades_clip_batch_50/1Y09V_c109_t0.00_30.79/stage2,outputs/charades_clip_batch_50/1Y09V_c109_t0.00_30.79/vlm_review,outputs/charades_clip_batch_50/1Y09V_c109_t0.00_30.79/comparison.json,outputs/charades_clip_batch_50/1Y09V_c109_t0.00_30.79/fused_events.json,exists,exists,ok,5,True,
HG8G1_c065_t0.00_36.83,HG8G1,c065,Eating a sandwich,eating,data/charades/clips_480p/HG8G1_c065_t0.00_36.83.mp4,outputs/charades_clip_batch_50/HG8G1_c065_t0.00_36.83/stage2,outputs/charades_clip_batch_50/HG8G1_c065_t0.00_36.83/vlm_review,outputs/charades_clip_batch_50/HG8G1_c065_t0.00_36.83/comparison.json,outputs/charades_clip_batch_50/HG8G1_c065_t0.00_36.83/fused_events.json,exists,exists,ok,0,False,
ZP5TG_c123_t0.00_42.46,ZP5TG,c123,Sitting on sofa/couch,sitting_on_sofa,data/charades/clips_480p/ZP5TG_c123_t0.00_42.46.mp4,outputs/charades_clip_batch_50/ZP5TG_c123_t0.00_42.46/stage2,outputs/charades_clip_batch_50/ZP5TG_c123_t0.00_42.46/vlm_review,outputs/charades_clip_batch_50/ZP5TG_c123_t0.00_42.46/comparison.json,outputs/charades_clip_batch_50/ZP5TG_c123_t0.00_42.46/fused_events.json,exists,exists,ok,0,False,
L57L2_c125_t22.10_123.70,L57L2,c125,Sitting on the floor,sitting_on_floor,data/charades/clips_480p/L57L2_c125_t22.10_123.70.mp4,outputs/charades_clip_batch_50/L57L2_c125_t22.10_123.70/stage2,outputs/charades_clip_batch_50/L57L2_c125_t22.10_123.70/vlm_review,outputs/charades_clip_batch_50/L57L2_c125_t22.10_123.70/comparison.json,outputs/charades_clip_batch_50/L57L2_c125_t22.10_123.70/fused_events.json,exists,exists,ok,1,False,
3HUXR_c132_t0.00_41.62,3HUXR,c132,Watching television,watching_tv,data/charades/clips_480p/3HUXR_c132_t0.00_41.62.mp4,outputs/charades_clip_batch_50/3HUXR_c132_t0.00_41.62/stage2,outputs/charades_clip_batch_50/3HUXR_c132_t0.00_41.62/vlm_review,outputs/charades_clip_batch_50/3HUXR_c132_t0.00_41.62/comparison.json,outputs/charades_clip_batch_50/3HUXR_c132_t0.00_41.62/fused_events.json,exists,exists,ok,0,False,
38TF8_c106_t0.00_31.50,38TF8,c106,Drinking from a cup/glass/bottle,drinking_water,data/charades/clips_480p/38TF8_c106_t0.00_31.50.mp4,outputs/charades_clip_batch_50/38TF8_c106_t0.00_31.50/stage2,outputs/charades_clip_batch_50/38TF8_c106_t0.00_31.50/vlm_review,outputs/charades_clip_batch_50/38TF8_c106_t0.00_31.50/comparison.json,outputs/charades_clip_batch_50/38TF8_c106_t0.00_31.50/fused_events.json,exists,exists,ok,9,False,
QU2WL_c019_t0.00_34.21,QU2WL,c019,Talking on a phone/camera,talking_on_phone,data/charades/clips_480p/QU2WL_c019_t0.00_34.21.mp4,outputs/charades_clip_batch_50/QU2WL_c019_t0.00_34.21/stage2,outputs/charades_clip_batch_50/QU2WL_c019_t0.00_34.21/vlm_review,outputs/charades_clip_batch_50/QU2WL_c019_t0.00_34.21/comparison.json,outputs/charades_clip_batch_50/QU2WL_c019_t0.00_34.21/fused_events.json,exists,exists,ok,12,True,
ENJ7V_c015_t0.00_39.79,ENJ7V,c015,Holding a phone/camera,holding_phone,data/charades/clips_480p/ENJ7V_c015_t0.00_39.79.mp4,outputs/charades_clip_batch_50/ENJ7V_c015_t0.00_39.79/stage2,outputs/charades_clip_batch_50/ENJ7V_c015_t0.00_39.79/vlm_review,outputs/charades_clip_batch_50/ENJ7V_c015_t0.00_39.79/comparison.json,outputs/charades_clip_batch_50/ENJ7V_c015_t0.00_39.79/fused_events.json,exists,exists,ok,15,True,
75HWR_c016_t0.00_37.00,75HWR,c016,Playing with a phone/camera,looking_at_phone,data/charades/clips_480p/75HWR_c016_t0.00_37.00.mp4,outputs/charades_clip_batch_50/75HWR_c016_t0.00_37.00/stage2,outputs/charades_clip_batch_50/75HWR_c016_t0.00_37.00/vlm_review,outputs/charades_clip_batch_50/75HWR_c016_t0.00_37.00/comparison.json,outputs/charades_clip_batch_50/75HWR_c016_t0.00_37.00/fused_events.json,exists,exists,ok,0,True,
7JTEK_c156_t0.00_35.29,7JTEK,c156,Someone is eating something,eating,data/charades/clips_480p/7JTEK_c156_t0.00_35.29.mp4,outputs/charades_clip_batch_50/7JTEK_c156_t0.00_35.29/stage2,outputs/charades_clip_batch_50/7JTEK_c156_t0.00_35.29/vlm_review,outputs/charades_clip_batch_50/7JTEK_c156_t0.00_35.29/comparison.json,outputs/charades_clip_batch_50/7JTEK_c156_t0.00_35.29/fused_events.json,exists,exists,ok,0,True,
7WIKW_c151_t17.10_42.10,7WIKW,c151,Someone is going from standing to sitting,sitting_down,data/charades/clips_480p/7WIKW_c151_t17.10_42.10.mp4,outputs/charades_clip_batch_50/7WIKW_c151_t17.10_42.10/stage2,outputs/charades_clip_batch_50/7WIKW_c151_t17.10_42.10/vlm_review,outputs/charades_clip_batch_50/7WIKW_c151_t17.10_42.10/comparison.json,outputs/charades_clip_batch_50/7WIKW_c151_t17.10_42.10/fused_events.json,exists,exists,ok,0,True,
1LKPL_c154_t0.00_33.58,1LKPL,c154,Someone is standing up from somewhere,standing_up,data/charades/clips_480p/1LKPL_c154_t0.00_33.58.mp4,outputs/charades_clip_batch_50/1LKPL_c154_t0.00_33.58/stage2,outputs/charades_clip_batch_50/1LKPL_c154_t0.00_33.58/vlm_review,outputs/charades_clip_batch_50/1LKPL_c154_t0.00_33.58/comparison.json,outputs/charades_clip_batch_50/1LKPL_c154_t0.00_33.58/fused_events.json,exists,exists,ok,0,False,
229ZR_c059_t0.00_40.42,229ZR,c059,Sitting in a chair,sitting_on_chair,data/charades/clips_480p/229ZR_c059_t0.00_40.42.mp4,outputs/charades_clip_batch_50/229ZR_c059_t0.00_40.42/stage2,outputs/charades_clip_batch_50/229ZR_c059_t0.00_40.42/vlm_review,outputs/charades_clip_batch_50/229ZR_c059_t0.00_40.42/comparison.json,outputs/charades_clip_batch_50/229ZR_c059_t0.00_40.42/fused_events.json,exists,exists,ok,0,True,
STAZI_c097_t0.00_19.10,STAZI,c097,Walking through a doorway,walking_through_doorway,data/charades/clips_480p/STAZI_c097_t0.00_19.10.mp4,outputs/charades_clip_batch_50/STAZI_c097_t0.00_19.10/stage2,outputs/charades_clip_batch_50/STAZI_c097_t0.00_19.10/vlm_review,outputs/charades_clip_batch_50/STAZI_c097_t0.00_19.10/comparison.json,outputs/charades_clip_batch_50/STAZI_c097_t0.00_19.10/fused_events.json,exists,exists,ok,0,False,
M0DAY_c150_t0.00_24.83,M0DAY,c150,Someone is running somewhere,running,data/charades/clips_480p/M0DAY_c150_t0.00_24.83.mp4,outputs/charades_clip_batch_50/M0DAY_c150_t0.00_24.83/stage2,outputs/charades_clip_batch_50/M0DAY_c150_t0.00_24.83/vlm_review,outputs/charades_clip_batch_50/M0DAY_c150_t0.00_24.83/comparison.json,outputs/charades_clip_batch_50/M0DAY_c150_t0.00_24.83/fused_events.json,exists,exists,ok,0,False,
NDH24_c052_t0.00_36.38,NDH24,c052,Working/Playing on a laptop,using_laptop,data/charades/clips_480p/NDH24_c052_t0.00_36.38.mp4,outputs/charades_clip_batch_50/NDH24_c052_t0.00_36.38/stage2,outputs/charades_clip_batch_50/NDH24_c052_t0.00_36.38/vlm_review,outputs/charades_clip_batch_50/NDH24_c052_t0.00_36.38/comparison.json,outputs/charades_clip_batch_50/NDH24_c052_t0.00_36.38/fused_events.json,exists,exists,ok,0,True,
YVH4J_c051_t0.00_38.30,YVH4J,c051,Watching a laptop or something on a laptop,watching_laptop,data/charades/clips_480p/YVH4J_c051_t0.00_38.30.mp4,outputs/charades_clip_batch_50/YVH4J_c051_t0.00_38.30/stage2,outputs/charades_clip_batch_50/YVH4J_c051_t0.00_38.30/vlm_review,outputs/charades_clip_batch_50/YVH4J_c051_t0.00_38.30/comparison.json,outputs/charades_clip_batch_50/YVH4J_c051_t0.00_38.30/fused_events.json,exists,exists,ok,0,True,
BPZE3_c147_t0.00_35.12,BPZE3,c147,Someone is cooking something,cooking,data/charades/clips_480p/BPZE3_c147_t0.00_35.12.mp4,outputs/charades_clip_batch_50/BPZE3_c147_t0.00_35.12/stage2,outputs/charades_clip_batch_50/BPZE3_c147_t0.00_35.12/vlm_review,outputs/charades_clip_batch_50/BPZE3_c147_t0.00_35.12/comparison.json,outputs/charades_clip_batch_50/BPZE3_c147_t0.00_35.12/fused_events.json,exists,exists,ok,0,True,
GY9MZ_c107_t0.00_35.17,GY9MZ,c107,Holding a cup/glass/bottle of something,holding_drink_container,data/charades/clips_480p/GY9MZ_c107_t0.00_35.17.mp4,outputs/charades_clip_batch_50/GY9MZ_c107_t0.00_35.17/stage2,outputs/charades_clip_batch_50/GY9MZ_c107_t0.00_35.17/vlm_review,outputs/charades_clip_batch_50/GY9MZ_c107_t0.00_35.17/comparison.json,outputs/charades_clip_batch_50/GY9MZ_c107_t0.00_35.17/fused_events.json,exists,exists,ok,0,True,
K8AUX_c110_t0.00_29.54,K8AUX,c110,Taking a cup/glass/bottle from somewhere,taking_drink_container,data/charades/clips_480p/K8AUX_c110_t0.00_29.54.mp4,outputs/charades_clip_batch_50/K8AUX_c110_t0.00_29.54/stage2,outputs/charades_clip_batch_50/K8AUX_c110_t0.00_29.54/vlm_review,outputs/charades_clip_batch_50/K8AUX_c110_t0.00_29.54/comparison.json,outputs/charades_clip_batch_50/K8AUX_c110_t0.00_29.54/fused_events.json,exists,exists,ok,1,True,
PCXYE_c109_t0.00_28.40,PCXYE,c109,Putting a cup/glass/bottle somewhere,putting_drink_container,data/charades/clips_480p/PCXYE_c109_t0.00_28.40.mp4,outputs/charades_clip_batch_50/PCXYE_c109_t0.00_28.40/stage2,outputs/charades_clip_batch_50/PCXYE_c109_t0.00_28.40/vlm_review,outputs/charades_clip_batch_50/PCXYE_c109_t0.00_28.40/comparison.json,outputs/charades_clip_batch_50/PCXYE_c109_t0.00_28.40/fused_events.json,exists,exists,ok,0,True,
R28EY_c065_t0.00_30.67,R28EY,c065,Eating a sandwich,eating,data/charades/clips_480p/R28EY_c065_t0.00_30.67.mp4,outputs/charades_clip_batch_50/R28EY_c065_t0.00_30.67/stage2,outputs/charades_clip_batch_50/R28EY_c065_t0.00_30.67/vlm_review,outputs/charades_clip_batch_50/R28EY_c065_t0.00_30.67/comparison.json,outputs/charades_clip_batch_50/R28EY_c065_t0.00_30.67/fused_events.json,exists,exists,ok,0,True,
VSFCR_c123_t0.00_37.88,VSFCR,c123,Sitting on sofa/couch,sitting_on_sofa,data/charades/clips_480p/VSFCR_c123_t0.00_37.88.mp4,outputs/charades_clip_batch_50/VSFCR_c123_t0.00_37.88/stage2,outputs/charades_clip_batch_50/VSFCR_c123_t0.00_37.88/vlm_review,outputs/charades_clip_batch_50/VSFCR_c123_t0.00_37.88/comparison.json,outputs/charades_clip_batch_50/VSFCR_c123_t0.00_37.88/fused_events.json,exists,exists,ok,5,True,
24B2K_c125_t6.50_51.50,24B2K,c125,Sitting on the floor,sitting_on_floor,data/charades/clips_480p/24B2K_c125_t6.50_51.50.mp4,outputs/charades_clip_batch_50/24B2K_c125_t6.50_51.50/stage2,outputs/charades_clip_batch_50/24B2K_c125_t6.50_51.50/vlm_review,outputs/charades_clip_batch_50/24B2K_c125_t6.50_51.50/comparison.json,outputs/charades_clip_batch_50/24B2K_c125_t6.50_51.50/fused_events.json,exists,exists,ok,0,False,
1BUFQ_c132_t0.00_40.25,1BUFQ,c132,Watching television,watching_tv,data/charades/clips_480p/1BUFQ_c132_t0.00_40.25.mp4,outputs/charades_clip_batch_50/1BUFQ_c132_t0.00_40.25/stage2,outputs/charades_clip_batch_50/1BUFQ_c132_t0.00_40.25/vlm_review,outputs/charades_clip_batch_50/1BUFQ_c132_t0.00_40.25/comparison.json,outputs/charades_clip_batch_50/1BUFQ_c132_t0.00_40.25/fused_events.json,exists,exists,ok,0,True,
U9UI8_c106_t0.00_30.54,U9UI8,c106,Drinking from a cup/glass/bottle,drinking_water,data/charades/clips_480p/U9UI8_c106_t0.00_30.54.mp4,outputs/charades_clip_batch_50/U9UI8_c106_t0.00_30.54/stage2,outputs/charades_clip_batch_50/U9UI8_c106_t0.00_30.54/vlm_review,outputs/charades_clip_batch_50/U9UI8_c106_t0.00_30.54/comparison.json,outputs/charades_clip_batch_50/U9UI8_c106_t0.00_30.54/fused_events.json,exists,exists,ok,2,True,
M8CDW_c019_t0.00_32.79,M8CDW,c019,Talking on a phone/camera,talking_on_phone,data/charades/clips_480p/M8CDW_c019_t0.00_32.79.mp4,outputs/charades_clip_batch_50/M8CDW_c019_t0.00_32.79/stage2,outputs/charades_clip_batch_50/M8CDW_c019_t0.00_32.79/vlm_review,outputs/charades_clip_batch_50/M8CDW_c019_t0.00_32.79/comparison.json,outputs/charades_clip_batch_50/M8CDW_c019_t0.00_32.79/fused_events.json,exists,exists,ok,8,True,
Y6MUU_c015_t0.00_39.00,Y6MUU,c015,Holding a phone/camera,holding_phone,data/charades/clips_480p/Y6MUU_c015_t0.00_39.00.mp4,outputs/charades_clip_batch_50/Y6MUU_c015_t0.00_39.00/stage2,outputs/charades_clip_batch_50/Y6MUU_c015_t0.00_39.00/vlm_review,outputs/charades_clip_batch_50/Y6MUU_c015_t0.00_39.00/comparison.json,outputs/charades_clip_batch_50/Y6MUU_c015_t0.00_39.00/fused_events.json,exists,exists,ok,5,True,
X95MU_c016_t0.00_36.38,X95MU,c016,Playing with a phone/camera,looking_at_phone,data/charades/clips_480p/X95MU_c016_t0.00_36.38.mp4,outputs/charades_clip_batch_50/X95MU_c016_t0.00_36.38/stage2,outputs/charades_clip_batch_50/X95MU_c016_t0.00_36.38/vlm_review,outputs/charades_clip_batch_50/X95MU_c016_t0.00_36.38/comparison.json,outputs/charades_clip_batch_50/X95MU_c016_t0.00_36.38/fused_events.json,exists,exists,ok,3,False,
5B8M5_c156_t0.00_30.71,5B8M5,c156,Someone is eating something,eating,data/charades/clips_480p/5B8M5_c156_t0.00_30.71.mp4,outputs/charades_clip_batch_50/5B8M5_c156_t0.00_30.71/stage2,outputs/charades_clip_batch_50/5B8M5_c156_t0.00_30.71/vlm_review,outputs/charades_clip_batch_50/5B8M5_c156_t0.00_30.71/comparison.json,outputs/charades_clip_batch_50/5B8M5_c156_t0.00_30.71/fused_events.json,exists,exists,ok,0,True,
XFHYX_c151_t0.00_18.90,XFHYX,c151,Someone is going from standing to sitting,sitting_down,data/charades/clips_480p/XFHYX_c151_t0.00_18.90.mp4,outputs/charades_clip_batch_50/XFHYX_c151_t0.00_18.90/stage2,outputs/charades_clip_batch_50/XFHYX_c151_t0.00_18.90/vlm_review,outputs/charades_clip_batch_50/XFHYX_c151_t0.00_18.90/comparison.json,outputs/charades_clip_batch_50/XFHYX_c151_t0.00_18.90/fused_events.json,exists,exists,ok,0,False,
FV684_c154_t0.00_32.92,FV684,c154,Someone is standing up from somewhere,standing_up,data/charades/clips_480p/FV684_c154_t0.00_32.92.mp4,outputs/charades_clip_batch_50/FV684_c154_t0.00_32.92/stage2,outputs/charades_clip_batch_50/FV684_c154_t0.00_32.92/vlm_review,outputs/charades_clip_batch_50/FV684_c154_t0.00_32.92/comparison.json,outputs/charades_clip_batch_50/FV684_c154_t0.00_32.92/fused_events.json,exists,exists,ok,4,False,
ARCUY_c059_t0.60_43.83,ARCUY,c059,Sitting in a chair,sitting_on_chair,data/charades/clips_480p/ARCUY_c059_t0.60_43.83.mp4,outputs/charades_clip_batch_50/ARCUY_c059_t0.60_43.83/stage2,outputs/charades_clip_batch_50/ARCUY_c059_t0.60_43.83/vlm_review,outputs/charades_clip_batch_50/ARCUY_c059_t0.60_43.83/comparison.json,outputs/charades_clip_batch_50/ARCUY_c059_t0.60_43.83/fused_events.json,exists,exists,ok,0,True,
406LH_c097_t1.00_21.00,406LH,c097,Walking through a doorway,walking_through_doorway,data/charades/clips_480p/406LH_c097_t1.00_21.00.mp4,outputs/charades_clip_batch_50/406LH_c097_t1.00_21.00/stage2,outputs/charades_clip_batch_50/406LH_c097_t1.00_21.00/vlm_review,outputs/charades_clip_batch_50/406LH_c097_t1.00_21.00/comparison.json,outputs/charades_clip_batch_50/406LH_c097_t1.00_21.00/fused_events.json,exists,exists,ok,0,True,
SPG5Q_c150_t9.20_33.42,SPG5Q,c150,Someone is running somewhere,running,data/charades/clips_480p/SPG5Q_c150_t9.20_33.42.mp4,outputs/charades_clip_batch_50/SPG5Q_c150_t9.20_33.42/stage2,outputs/charades_clip_batch_50/SPG5Q_c150_t9.20_33.42/vlm_review,outputs/charades_clip_batch_50/SPG5Q_c150_t9.20_33.42/comparison.json,outputs/charades_clip_batch_50/SPG5Q_c150_t9.20_33.42/fused_events.json,exists,exists,ok,0,False,
