clip_id,video_id,action_id,action_name,start_seconds,end_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,source_video,clip_path,status,error
3HUXR_c132_t0.00_41.62,3HUXR,c132,Watching television,0.0,43.0,0.0,41.62,41.62,data/charades/videos_480p/3HUXR.mp4,data/charades/clips_480p/3HUXR_c132_t0.00_41.62.mp4,exists,
38TF8_c106_t0.00_31.50,38TF8,c106,Drinking from a cup/glass/bottle,0.0,33.0,0.0,31.5,31.5,data/charades/videos_480p/38TF8.mp4,data/charades/clips_480p/38TF8_c106_t0.00_31.50.mp4,sliced,
QU2WL_c019_t0.00_34.21,QU2WL,c019,Talking on a phone/camera,0.0,35.0,0.0,34.21,34.21,data/charades/videos_480p/QU2WL.mp4,data/charades/clips_480p/QU2WL_c019_t0.00_34.21.mp4,sliced,
ENJ7V_c015_t0.00_39.79,ENJ7V,c015,Holding a phone/camera,0.0,41.0,0.0,39.79,39.79,data/charades/videos_480p/ENJ7V.mp4,data/charades/clips_480p/ENJ7V_c015_t0.00_39.79.mp4,sliced,
75HWR_c016_t0.00_37.00,75HWR,c016,Playing with a phone/camera,0.0,38.0,0.0,37.0,37.0,data/charades/videos_480p/75HWR.mp4,data/charades/clips_480p/75HWR_c016_t0.00_37.00.mp4,sliced,
7JTEK_c156_t0.00_35.29,7JTEK,c156,Someone is eating something,0.0,36.0,0.0,35.29,35.29,data/charades/videos_480p/7JTEK.mp4,data/charades/clips_480p/7JTEK_c156_t0.00_35.29.mp4,sliced,
7WIKW_c151_t17.10_42.10,7WIKW,c151,Someone is going from standing to sitting,19.1,40.1,17.1,42.1,25.0,data/charades/videos_480p/7WIKW.mp4,data/charades/clips_480p/7WIKW_c151_t17.10_42.10.mp4,sliced,
1LKPL_c154_t0.00_33.58,1LKPL,c154,Someone is standing up from somewhere,0.0,35.0,0.0,33.58,33.58,data/charades/videos_480p/1LKPL.mp4,data/charades/clips_480p/1LKPL_c154_t0.00_33.58.mp4,sliced,
229ZR_c059_t0.00_40.42,229ZR,c059,Sitting in a chair,0.0,41.0,0.0,40.42,40.42,data/charades/videos_480p/229ZR.mp4,data/charades/clips_480p/229ZR_c059_t0.00_40.42.mp4,sliced,
STAZI_c097_t0.00_19.10,STAZI,c097,Walking through a doorway,0.0,17.1,0.0,19.1,19.1,data/charades/videos_480p/STAZI.mp4,data/charades/clips_480p/STAZI_c097_t0.00_19.10.mp4,sliced,
M0DAY_c150_t0.00_24.83,M0DAY,c150,Someone is running somewhere,0.0,26.0,0.0,24.83,24.83,data/charades/videos_480p/M0DAY.mp4,data/charades/clips_480p/M0DAY_c150_t0.00_24.83.mp4,sliced,
NDH24_c052_t0.00_36.38,NDH24,c052,Working/Playing on a laptop,0.0,37.0,0.0,36.38,36.38,data/charades/videos_480p/NDH24.mp4,data/charades/clips_480p/NDH24_c052_t0.00_36.38.mp4,sliced,
YVH4J_c051_t0.00_38.30,YVH4J,c051,Watching a laptop or something on a laptop,0.0,36.3,0.0,38.3,38.3,data/charades/videos_480p/YVH4J.mp4,data/charades/clips_480p/YVH4J_c051_t0.00_38.30.mp4,sliced,
BPZE3_c147_t0.00_35.12,BPZE3,c147,Someone is cooking something,0.0,36.0,0.0,35.12,35.12,data/charades/videos_480p/BPZE3.mp4,data/charades/clips_480p/BPZE3_c147_t0.00_35.12.mp4,sliced,
GY9MZ_c107_t0.00_35.17,GY9MZ,c107,Holding a cup/glass/bottle of something,0.0,36.0,0.0,35.17,35.17,data/charades/videos_480p/GY9MZ.mp4,data/charades/clips_480p/GY9MZ_c107_t0.00_35.17.mp4,sliced,
K8AUX_c110_t0.00_29.54,K8AUX,c110,Taking a cup/glass/bottle from somewhere,0.0,31.0,0.0,29.54,29.54,data/charades/videos_480p/K8AUX.mp4,data/charades/clips_480p/K8AUX_c110_t0.00_29.54.mp4,sliced,
PCXYE_c109_t0.00_28.40,PCXYE,c109,Putting a cup/glass/bottle somewhere,0.0,26.4,0.0,28.4,28.4,data/charades/videos_480p/PCXYE.mp4,data/charades/clips_480p/PCXYE_c109_t0.00_28.40.mp4,sliced,
R28EY_c065_t0.00_30.67,R28EY,c065,Eating a sandwich,0.9,32.0,0.0,30.67,30.67,data/charades/videos_480p/R28EY.mp4,data/charades/clips_480p/R28EY_c065_t0.00_30.67.mp4,sliced,
VSFCR_c123_t0.00_37.88,VSFCR,c123,Sitting on sofa/couch,0.0,39.0,0.0,37.88,37.88,data/charades/videos_480p/VSFCR.mp4,data/charades/clips_480p/VSFCR_c123_t0.00_37.88.mp4,sliced,
24B2K_c125_t6.50_51.50,24B2K,c125,Sitting on the floor,8.5,49.5,6.5,51.5,45.0,data/charades/videos_480p/24B2K.mp4,data/charades/clips_480p/24B2K_c125_t6.50_51.50.mp4,sliced,
1BUFQ_c132_t0.00_40.25,1BUFQ,c132,Watching television,0.0,41.0,0.0,40.25,40.25,data/charades/videos_480p/1BUFQ.mp4,data/charades/clips_480p/1BUFQ_c132_t0.00_40.25.mp4,sliced,
U9UI8_c106_t0.00_30.54,U9UI8,c106,Drinking from a cup/glass/bottle,0.0,32.0,0.0,30.54,30.54,data/charades/videos_480p/U9UI8.mp4,data/charades/clips_480p/U9UI8_c106_t0.00_30.54.mp4,sliced,
M8CDW_c019_t0.00_32.79,M8CDW,c019,Talking on a phone/camera,0.0,34.0,0.0,32.79,32.79,data/charades/videos_480p/M8CDW.mp4,data/charades/clips_480p/M8CDW_c019_t0.00_32.79.mp4,sliced,
Y6MUU_c015_t0.00_39.00,Y6MUU,c015,Holding a phone/camera,0.0,40.0,0.0,39.0,39.0,data/charades/videos_480p/Y6MUU.mp4,data/charades/clips_480p/Y6MUU_c015_t0.00_39.00.mp4,sliced,
X95MU_c016_t0.00_36.38,X95MU,c016,Playing with a phone/camera,0.0,37.0,0.0,36.38,36.38,data/charades/videos_480p/X95MU.mp4,data/charades/clips_480p/X95MU_c016_t0.00_36.38.mp4,sliced,
5B8M5_c156_t0.00_30.71,5B8M5,c156,Someone is eating something,0.0,32.0,0.0,30.71,30.71,data/charades/videos_480p/5B8M5.mp4,data/charades/clips_480p/5B8M5_c156_t0.00_30.71.mp4,sliced,
XFHYX_c151_t0.00_18.90,XFHYX,c151,Someone is going from standing to sitting,0.7,16.9,0.0,18.9,18.9,data/charades/videos_480p/XFHYX.mp4,data/charades/clips_480p/XFHYX_c151_t0.00_18.90.mp4,sliced,
FV684_c154_t0.00_32.92,FV684,c154,Someone is standing up from somewhere,0.0,34.0,0.0,32.92,32.92,data/charades/videos_480p/FV684.mp4,data/charades/clips_480p/FV684_c154_t0.00_32.92.mp4,sliced,
ARCUY_c059_t0.60_43.83,ARCUY,c059,Sitting in a chair,2.6,42.2,0.6,43.83,43.23,data/charades/videos_480p/ARCUY.mp4,data/charades/clips_480p/ARCUY_c059_t0.60_43.83.mp4,sliced,
406LH_c097_t1.00_21.00,406LH,c097,Walking through a doorway,3.0,19.0,1.0,21.0,20.0,data/charades/videos_480p/406LH.mp4,data/charades/clips_480p/406LH_c097_t1.00_21.00.mp4,sliced,
SPG5Q_c150_t9.20_33.42,SPG5Q,c150,Someone is running somewhere,11.2,34.0,9.2,33.42,24.22,data/charades/videos_480p/SPG5Q.mp4,data/charades/clips_480p/SPG5Q_c150_t9.20_33.42.mp4,sliced,
