video_id,subject,scene,quality,relevance,verified,video_length,action_id,action_index,action,action_name,object_id,object_name,verb_id,verb_name,start_seconds,end_seconds,duration_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,objects,descriptions
3HUXR,T7C3,Bedroom,7,7,Yes,41.62,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,43.0,43.0,0.0,41.62,41.62,bed;blanket;food;light;television;tv,"A person is lying on a bed wrapped in a blanket.  They are eating something and watching TV.  They get up and turn off the light.;This person is laying down, eating something, while watching tv, then turns off the light."
38TF8,6PZN,Kitchen,7,7,Yes,31.5,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,33.0,33.0,0.0,31.5,31.5,bowl;clothes;coffee;cup;floor;food,"One person sits on the floor eating, while another person drinks coffee and gets dressed.;The person on the floor was eating while sitting, while the person standing in the back was adjusting his clothes"
QU2WL,D0RU,Recreation room / Man cave,7,7,Yes,34.21,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,35.0,35.0,0.0,34.21,34.21,bottle;chair;cup;desk;drink;food;phone;table,"The person is on the phone, walking across the room.  He goes to the table, starts eating, sits down, also takes a drink, all while on the phone.;A person is walking around a room while talking on the phone. The person walks to a table, pours a drink and sits down."
ENJ7V,9PLL,Living room,7,7,Yes,39.79,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,41.0,41.0,0.0,39.79,39.79,door;phone/camera;shoe;video,A person watches a video on a tablet computer while standing near a door and then removes his shoes and puts them on the floor.
75HWR,4YWP,Dining room,7,7,Yes,37.0,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,38.0,38.0,0.0,37.0,37.0,food;hand;phone;sandwich;table,"A person is standing, looking at their phone. Another person walks past, holding a sandwich on a plate."
7JTEK,T7C3,Kitchen,7,7,Yes,35.29,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,36.0,36.0,0.0,35.29,35.29,cup;dish;food;glass;sandwich;stove,"A person is cooking while eating a sandwich they pick up a pill bottle and put it down on the counter.;A person is standing in their kitchen eating a sandwich and smiling while cooking some food on a stove, they then move a glass."
7WIKW,UTMU,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,44.46,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,19.1,40.1,21.0,17.1,42.1,25.0,box;coffee;cup;doorway;floor;glass;pillow;shelf;something,"A person walks over, pours a glass of water, picks up a pillow and snuggles with it. Then the person kneels down, opens a suitcase, rummages through it, gets up, and walks away."
1LKPL,BYF9,Kitchen,7,7,Yes,33.58,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,35.0,35.0,0.0,33.58,33.58,book;camera;dish;food;phone;picture;pot;stove;towel;trash can,Someone is in the kitchen cooking something while another person is standing and taking pictures of them.;A person in a kitchen throwing stuff away and putting things up.The other person is taking pictures of the person doing all the work.The one person places pots on the stove.
229ZR,D0RU,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,40.42,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,41.0,41.0,0.0,40.42,40.42,chair;door,"One person is standing in a doorway and another person is sitting in a chair outside the doorway. The person in the doorway swings the door back and forth and the person in the chair swings their leg. The person from the doorway walks out of the picture.;A person is standing in a doorway, opening and closing a door, while another person is sitting in a chair kicking their leg"
STAZI,BYF9,Kitchen,7,7,Yes,36.33,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,0.0,17.1,17.1,0.0,19.1,19.1,book;broom;door;floor;food,Someone walks in holding a book. He puts the book away as a girl follows him and begins to sweep up with a broom.
M0DAY,UTMU,Closet / Walk-in closet / Spear closet,7,7,Yes,24.83,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,0.0,26.0,26.0,0.0,24.83,24.83,closet;clothes;cup;glass;phone;shoes,"A person is standing in a closet, running in place while holding a glass. There is a rack of clothes and pile of shoes nearby.;A person standing in a closet with high heel shoes on dancing in place.The person is holding a phone while dancing."
NDH24,T7C3,Stairs,7,7,Yes,36.38,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,37.0,37.0,0.0,36.38,36.38,laptop;phone,"A person is sitting on the stairs, laughing while they look at their computer screen. THey are also holding a phone."
YVH4J,D0RU,Bedroom,7,7,Yes,46.67,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,36.3,36.3,0.0,38.3,38.3,bag;bed;laptop;paper/notebook;person;pillow;television,A person is laying on a bed on a pillow kicking their feet and smiling as they watch a video on a laptop across the room. They pick up a backpack and pick out some homework and look at it.;someone laying on a bed and watching something on a laptop.
BPZE3,T7C3,Kitchen,7,7,Yes,35.12,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,36.0,36.0,0.0,35.12,35.12,food;phone;stove,A person is cooking at the stove while looking at their phone.
GY9MZ,PKND,Other,7,7,Yes,35.17,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,0.0,36.0,36.0,0.0,35.17,35.17,coffee;cup;floor;shoe,"A person is pacing back and forth, laughing and smiling while drinking from from a mug. They take off their shoes and kick them aside.;The person is walking back and forth with a cup in the hand while drinking from it and smiling. The person is also removing its shoes without bending."
A1NKP,D0RU,Kitchen,7,7,Yes,30.75,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,0.0,32.0,32.0,0.0,30.75,30.75,blanket;coffee;dish;food;glass,"A man stands, wrapped in a blanket. He is standing over the sink and drinking from a coffee cup."
PCXYE,5LWB,Garage,7,7,Yes,34.54,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,0.0,26.4,26.4,0.0,28.4,28.4,chair;coffee;cup;glass;shelf;wall,A person drinks from a cup while sitting in a chair before fixing a shelf.;A person is sitting on a bike and drinking from a white cup. They get up and walk over to a shelf and put it down.
R28EY,9Y7F,Other,7,7,Yes,30.67,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.9,32.0,31.1,0.0,30.67,30.67,blanket;clothes;coat;food;mirror;pillow;sandwich,One young person throwing a coat over his shoulder and tossing around a pillow and another person eating a sandwich and looking in a mirror;Two people are standing in a room. One person is tossing a pillow in the air and wearing a blanket on their shoulder. The other person is eating some food and looking at himself in a mirror.
VSFCR,HR43,Living room,7,7,Yes,37.88,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,39.0,39.0,0.0,37.88,37.88,bed;cup;dog;sofa;unknown object,Person is sitting on bed with dog holding coffee cup and sipping out of it.  He looks to his right and examines the object sitting there after setting down his coffee cup.;A person is sitting on a bed with a cup drinking and laughing.
24B2K,3H6W,Basement (A room below the ground floor),7,7,Yes,53.92,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,8.5,49.5,41.0,6.5,51.5,45.0,blanket;box;cup;dish;floor;food;sandwich,"A person sits down behind a closed door and eats a sandwich, drinks water, looks at a box, and snuggles with a blanket before standing up."
1BUFQ,PO5L,Living room,7,7,Yes,40.25,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,41.0,41.0,0.0,40.25,40.25,floor;homework;paper;television;televison,A person walks back and forth and then looks up. Then they take a piece of homework and write on it. Then they get back up and leave the room.;A person is walking in front of a televison back and fort then looking up and sitting on the floor to work on homework.
U9UI8,9Y7F,Recreation room / Man cave,7,7,Yes,30.54,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,32.0,32.0,0.0,30.54,30.54,box;coffee;cup,One person is sitting on a bed looking through a box while the other person is standing and drinking from a mug
M8CDW,I1YH,Pantry,7,7,Yes,32.79,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,34.0,34.0,0.0,32.79,32.79,chair;phone,A person is sitting in a chair in the pantry and talking on the phone.
Y6MUU,0RNU,Laundry room,7,7,Yes,39.0,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,40.0,40.0,0.0,39.0,39.0,broom;cup/glass/bottle;door;medicine;phone;video,"A person is holding a broom and watching a video on a phone. They grab a bottle, open a door and leave."
X95MU,D0RU,Hallway,7,7,Yes,36.38,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,37.0,37.0,0.0,36.38,36.38,camera;chair;clothes;phone;picture;shoe,"A person is walking with a camera in their hands while putting on shoes, they then sit down on a chair and take a picture.;The person puts on their shoes then sits in a chair holding a camera. They take a picture."
L4DUU,ZAWX,Kitchen,7,7,Yes,31.58,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,33.0,33.0,0.0,31.58,31.58,camera;doorway;food;phone;sandwich;table,The person is holding a camera and eating a sandwich. The person is waving the camera around. The person puts the camera down. The person walks out of the room
XFHYX,XXN8,Pantry,7,7,Yes,29.88,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,0.7,16.9,16.2,0.0,18.9,18.9,cabinet;cup/glass/bottle;shelf;towel,"A person is cleaning a cabinet, and sneezing. The person gets a cup of water and drinks it."
FV684,1OHU,Bathroom,7,7,Yes,32.92,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,34.0,34.0,0.0,32.92,32.92,mirror;sink;table;vacuum;wipe,A person fixes their hat and admires themselves in a mirror. They wipe down the table with a wipe. They start vacuuming the floor;A person is looking at themselves in a mirror smiling then tidying the sink and vacuuming the floor.
ARCUY,4I61,Home Office / Study (A room in a house used for work),7,7,Yes,43.83,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,2.6,42.2,39.6,0.6,43.83,43.23,cabinet;chair;drawer;lamp;pillow;recliner;vest,"A person walks into the room and sits down in a recliner. The person adjusts a lamp. The person adjusts their jacket. The person grabs a pillow and fluffs it and sneezes while doing that. The person walks out of the room.;A person enters the living room, then closes a cabinet drawer and sits down in a recliner.  They adjust a floor lamp before zipping up their vest, then fluffs a pillow and sneezes several times before leaving the room."
406LH,P6LJ,Living room,7,7,Yes,34.17,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,3.0,19.0,16.0,1.0,21.0,20.0,curtain;dish;door;food;sandwich;shelf;window,"A person opens a door and stand in the doorway eating food from a dish, they then close the door and go to a window and look out.;A woman walks to a door and opens it, grabs a bowl and eats something, and then walks to the window and opens the curtain."
SPG5Q,T7C3,Laundry room,7,7,Yes,33.42,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,11.2,34.0,22.8,9.2,33.42,24.22,clothes;floor;shoe;towel,A person takes off shoes in the laundry room and then runs in place while holding a towel.
YDTH0,CCI9,Living room,7,7,Yes,34.5,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,36.0,36.0,0.0,34.5,34.5,cup;glass;laptop;sofa;table;water,A person sits down holding a laptop covered with a blanket. They pick up a glass of water and put it on the table.
7GIOE,9PLL,Home Office / Study (A room in a house used for work),7,7,Yes,33.79,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,35.0,35.0,0.0,33.79,33.79,laptop;picture,A person is using their laptop to look at pictures and to type on the keyboard.
8PSXZ,HR43,Kitchen,7,7,Yes,32.33,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,33.0,33.0,0.0,32.33,32.33,box;food;pot;stove,A person stands at a stove cooking something in a pot.  They pick up a box and move it next to a laptop.
ZWE6N,P6LJ,Dining room,7,7,Yes,37.71,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,2.2,37.7,35.5,0.2,37.71,37.51,bag;clothes;coffee;cup;glass;hand;table,A person takes a mug from the table and drinks from it. The person takes a bag and puts it back down.
K8AUX,4I2W,Pantry,7,7,Yes,29.54,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,0.0,31.0,31.0,0.0,29.54,29.54,bag;box;coffee;cup;dish;doorway;food;glass;groceries;items,The person is drinking from a cup and laughing.  They then take items out of a box and walk out the door.;A laughing person is drinking some coffee from a glass.  They pick up a bag  of groceries and some food and walk out the room through an open doorway.
B2X4D,C7O9,Kitchen,7,7,Yes,30.71,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,11.2,32.0,20.8,9.2,30.71,21.51,counter;cup;doorway;food;glass;stove;table,"A person is standing in the kitchen eating in silence.  Another person comes in the kitchen and goes to the stove.  They put something down next to the stove, stand there for a bit, and seem to adjust something on top of the stove.;Person is standing in a doorway and eating in kitchen. Another person walks in and places a cop on the counter."
7XLMZ,0KZ7,Stairs,7,7,Yes,28.75,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,30.0,30.0,0.0,28.75,28.75,clothes;floor;sandwich;towel,A person is playing with their clothes throwing them up in the air while sneezing uncontrollably.
M40WF,BYF9,Living room,7,7,Yes,36.04,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,37.0,37.0,0.0,36.04,36.04,bag;blanket;game;phone/camera;sofa,"Two people are sitting on a sofa while one uses a controller to play a video game. The other person gets up and moves to a table and picks a bag up from a seat, moving it next to the person playing games."
F0ZPW,UTMU,Closet / Walk-in closet / Spear closet,7,7,Yes,39.29,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,0.0,40.0,40.0,0.0,39.29,39.29,blanket;clothes;cup;dish;floor;food;glass;towel;vacuum,"A person is sitting on the floor eating while holding a blanket. A person then drinks water, and then begins to clean an item."
GYAR9,T7C3,Bedroom,7,7,Yes,37.96,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,39.0,39.0,0.0,37.96,37.96,bed;blanket;clothes;desk;floor;glass;television;water,person sitting on bed watching tv throws closes on floor takes a drink
5JSFE,C7O9,Kitchen,7,7,Yes,30.79,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,29.8,29.8,0.0,30.79,30.79,coffee;cup;door;homework;paper,A MAN IS DRINKING A CUP OF COFFEE BY THE DOOR AND ANOTHER BOY PASSES BY HIM TO OPEN A CLOSET DOOR TO GET A PEICE OF PAPER
FN71T,9PLL,Bathroom,7,7,Yes,31.83,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,33.0,33.0,0.0,31.83,31.83,clothes;door;phone;sink,"A person walks into a bathroom talking on a phone. The person then begins pick things up off the floor and placing them into the sink. The person then picks up some clothes off the floor and walks out of the bathroom.;Person walks into bathroom, while talking on the phone. Person puts some stuff in the sink and then grabs clothes and walks out of bathroom, while still talking on the phone."
RV11J,T7C3,Living room,7,7,Yes,40.29,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,39.1,39.1,0.0,40.29,40.29,bag;camera;phone,A person is pacing while holding a camera and looking through the view. They then put the camera into it's bag.
NSDFA,1OHU,Recreation room / Man cave,7,7,Yes,35.08,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,36.0,36.0,0.0,35.08,35.08,box;phone;picture,A person is carrying a box around a room while holding a phone.  They put the box down and take a picture.
DDUXF,D0RU,Kitchen,7,7,Yes,37.62,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,32.9,32.9,0.0,34.9,34.9,food;laptop;plate;table,"A person in a orange shirt is eating and nteracting with a laptop;a person looking down a laptop on a table while standing up and eating snacks, picks up the laptop and continues watching something on the laptop"
HB8QW,3H6W,Dining room,7,7,Yes,25.42,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,2.6,18.6,16.0,0.6,20.6,20.0,bag;broom;clothes;table,A person walks up while holding a broom in their hand and sits down in a chair and then gets up again and walks away while still holding the broom.
OYG5H,X5XO,Home Office / Study (A room in a house used for work),7,7,Yes,30.83,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,32.0,32.0,0.0,30.83,30.83,book;cabinet;clothes;door;floor,"A person picks up a magazine, puts it away, then throws things into another room."
IJN3M,D0RU,Hallway,7,7,Yes,41.42,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,3.0,42.0,39.0,1.0,41.42,40.42,camera;chair;phone;shoe,"A person walks through a room, sits on a bench, puts on shoes, and fiddles with a phone"
AST4H,JVLO,Living room,7,7,Yes,29.92,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,8.0,21.9,13.9,6.0,23.9,17.9,box;doorway;hair;mirror,"A person picks up a box, smiles and looks into a mirror.;A person picks up a box and walks through a doorway. The person then fixes their hair in a mirror"
0R5GS,3531,Recreation room / Man cave,7,7,Yes,31.33,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,10.9,32.0,21.1,8.9,31.33,22.43,bench;box;mirror;room,"A person walks into the room and grabs a box off of a bench. The person walks in circles while holding the box while looking in a mirror.;A person walks into a room, picks up a box, and begins walking in circles with the box in hand"
V58VE,D0RU,Bedroom,7,7,Yes,31.54,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,33.0,33.0,0.0,31.54,31.54,bed;clothes;laptop;pillow,A person is sitting on a bed with a pillow and laptop. The person is watching something on the laptop.
H603E,LTAC,Basement (A room below the ground floor),7,7,Yes,32.33,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,33.0,33.0,0.0,32.33,32.33,book;chair;floor;food;laptop;paper;sandwich;table,"A person is sitting in a chair looking at a paper, while working on a laptop.;The person is sitting and looking through some paper. The person then types something on a keyboard. They do this two times, put the paper on the ground, then eat something"
1SKLG,KQI6,Kitchen,7,7,Yes,30.42,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,31.0,31.0,0.0,30.42,30.42,blanket;broom;floor;food;something;stove;towel,a person holding a blanket is fixing something on the stove and another person comes in to sweep;A person is cooking something on the stove.  Another person starts sweeping the floor with a broom.
HY9LW,T7C3,Kitchen,7,7,Yes,33.75,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,0.0,34.6,34.6,0.0,33.75,33.75,cup;dish;glass;sink;something,A person is pouring water into a sink.;Person walk over to the sink pour out something in the sink then walk out of the room.
0NCWX,LTAC,Pantry,7,7,Yes,31.5,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,2.3,32.0,29.7,0.3,31.5,31.2,cabinet;cup;dish;door;glass,A person a cabinet and removes a glass. The person drinks from the glass.
8LWV7,ID9V,Bedroom,7,7,Yes,30.04,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,12.8,31.0,18.2,10.8,30.04,19.24,bed;blanket;coffee;cup;mug;table,A person lies down ona  bed. The person then gets up and drinks from a mug;A person awakens on a bed and grabs a coffee cup and drinks from it.
D4RH8,5LWB,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,29.08,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,30.0,30.0,0.0,29.08,29.08,book;chair;food;phone;sandwich,"Person A is sitting on a chair reading a book while Person B is holding a phone and eating a sandwich.;Two people are sitting on chairs in a hallway. One is looking at a book and the other is looking at their phone while eating a sandwich,"
EASCD,D0RU,Living room,7,7,Yes,41.46,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,35.0,35.0,0.0,37.0,37.0,chair;cup;dish;glass;sink;soda;sofa/couch;table,"A person is sitting on the bed brushing his hair with his hands. He pours a glass of soda and then takes a drink and sets the glass back down. He rearranges some dishes on the table and then grabs them, gets up, and takes them to the sink."
C0207,T7C3,Kitchen,7,7,Yes,36.42,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,0.0,37.0,37.0,0.0,36.42,36.42,floor;medicine;refrigerator,A person sits on their kitchen floor contemplating if they should take the medicine.
1DGSW,T7C3,Stairs,7,7,Yes,38.33,c132,132,watching_television,Watching television,o034,television,v031,watch,1.8,39.0,37.2,0.0,38.33,38.33,clothes;floor;television;tv,A person gets dressed while watching tV on the stairs.
U3OJV,0KZ7,Living room,7,7,Yes,27.67,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,29.0,29.0,0.0,27.67,27.67,chair;coffee;cup;phone;water,"A person is sitting in a chair, drinking from a glass and looking at a phone.;A person is sitting in a chair holding a cup and a phone. They drink water from the cup."
